"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"TreVeyon Henderson","RB","NE","200","24.5","7.65","170","240","67.1","65.7","77.7","34","32","21","20","7","47.6","22.6","54"
"Drake London","WR","ATL","227","23.7","5.93","205","274","65","66.4","75","35","30","27","9","3","23.1","37.8","42"
"Jalen Hurts","QB","PHI","359","11.3","8.78","346","377","63.1","68.9","56.3","36","29","36","4","2","31","26.8","1"
"D'Andre Swift","RB","CHI","192","25.8","6.96","163","237","59.5","58.6","75.2","37","39","26","21","7","58.2","15.8","59"
"A.J. Brown","WR","PHI","221","14.9","3.68","198","241","59.1","59.1","41.8","38","38","43","10","3","23.1","36.2","3"
"Ladd McConkey","WR","LAC","218","16.9","1.28","197","244","55.4","58.1","45.2","39","40","40","11","3","30.2","29.6","7"
"Joe Burrow","QB","CIN","350","17.4","22","325","370","54.3","47.4","49.6","40","48","38","5","3","29.3","24.5","3"
"Tyreek Hill","WR","MIA","216","12","7.95","201","238","54.1","62.2","38.3","41","35","46","12","3","36.4","28.1","14"
"Tony Pollard","RB","TEN","185","18.5","2.91","152","208","52.5","47.7","46.2","42","47","39","22","7","65.1","15.4","25"
"Aaron Jones","RB","MIN","182","11.6","4.12","159","191","49.6","55","28.7","43","42","53","23","7","68.1","13.7","3"
"Tee Higgins","WR","CIN","208","20.8","0.29","173","232","46.2","34.6","32.3","44","58","49","13","3","32.4","27.6","40"
"Jaxon Smith-Njigba","WR","SEA","208","18.3","0.956","184","238","45.9","45.2","38.7","45","49","45","14","3","40.2","24.1","28"
"David Montgomery","RB","DET","178","12.1","0.159","160","194","45.5","55.9","31.6","46","41","50","24","7","61.3","13.3","6"
"RJ Harvey","RB","DEN","178","16.9","4.57","157","204","45.3","52.6","42.1","47","44","42","25","8","62.8","15.1","30"
"Mike Evans","WR","TB","207","13","0.135","193","225","44.9","54.5","25.6","48","43","55","15","4","38.6","23.8","6"
"Terry McLaurin","WR","WAS","207","17.5","2.02","188","234","44.8","49.2","34.9","49","45","48","16","4","39.7","22.5","46"
"Davante Adams","WR","LAR","205","22.4","7.68","182","239","42.8","42.9","39.4","50","50","44","17","4","41.4","23.6","49"
"Sam LaPorta","TE","DET","161","8.98","12.9","148","173","42.6","39.8","30","51","54","52","4","3","57.1","11.4","9"
"Tyrone Tracy","RB","NYG","173","18.7","6.55","146","200","40.8","41.5","38.2","52","52","47","26","8","83.2","8.3","27"
"Marvin Harrison Jr.","WR","ARI","197","14.7","1.99","174","219","35.1","35.6","19.9","53","56","64","18","4","43.9","19.8","22"
"Isiah Pacheco","RB","KC","167","22.6","12.5","129","193","34.2","24.8","30.3","54","63","51","27","9","64.3","14.4","44"
"DK Metcalf","WR","PIT","195","5.27","0.828","188","203","33.1","48.9","3.29","55","46","109","19","4","50.3","16.8","1"
"Patrick Mahomes","QB","KC","328","13.7","5.41","309","346","32.3","31.8","25.3","56","61","56","6","3","47.3","16.5","11"
"Garrett Wilson","WR","NYJ","194","12.5","1.81","180","218","32.3","41.6","18.4","57","51","66","20","4","48","19.9","11"
"Courtland Sutton","WR","DEN","193","15.4","0.112","179","218","30.5","39.9","18.7","58","53","65","21","4","56.5","17.6","26"
"D.J. Moore","WR","CHI","193","15.2","3.02","177","219","30.4","37.8","20.1","59","55","63","22","4","56","14.6","36"
"Mark Andrews","TE","BAL","148","7.9","3.42","136","158","29.7","28.6","15.1","60","62","73","5","4","73.8","7.39","11"
"Zay Flowers","WR","BAL","190","14.8","0.668","163","207","27.3","23.8","7.93","61","64","90","23","4","66.9","10","32"
"Baker Mayfield","QB","TB","323","17.8","3.19","299","344","26.9","21.3","23.2","62","66","57","7","3","57.5","10.9","29"
"Xavier Worthy","WR","KC","189","19","1.81","160","213","26.7","21.2","13.6","63","67","77","24","5","56.5","13","56"
"Travis Kelce","TE","KC","144","16.3","1.74","121","164","26.2","12.8","21.2","64","82","62","6","4","67","12","40"
"DeVonta Smith","WR","PHI","187","14.1","1.46","171","208","24.9","32.7","9.08","65","60","85","25","5","61.6","12.5","21"
"T.J. Hockenson","TE","MIN","142","10.7","4.86","127","157","24.5","18.8","14.1","66","69","74","7","4","71.3","8.39","17"
"Kyler Murray","QB","ARI","319","19.2","4.19","296","348","23.7","18.5","27.8","67","70","54","8","3","84.8","7.11","49"
"Jameson Williams","WR","DET","186","11.8","0.203","174","206","23.4","35.4","7.2","68","57","92","26","5","61.8","11.1","17"
"Calvin Ridley","WR","TEN","185","15.4","2.18","172","212","23.2","33.1","12.2","69","59","79","27","5","68.2","12.9","33"
"Kaleb Johnson","RB","PIT","154","22.3","0.843","120","185","21.8","16.1","22.5","70","74","58","28","9","82.3","8.06","65"
"Tetairoa McMillan","WR","CAR","183","18.3","0.628","152","211","21","13.2","12.1","71","80","80","28","5","66.4","13.6","58"
"Jaylen Warren","RB","PIT","153","19.7","7.17","127","179","20.9","22.4","17.1","72","65","67","29","9","92.6","6.69","37"
"Jerry Jeudy","WR","CLE","183","19.1","7.19","155","215","20.4","16.6","16","73","72","70","29","5","84.2","8.33","47"
"David Njoku","TE","CLE","138","9.85","5.35","121","147","19.6","13","4.64","74","81","99","8","5","90.5","5.98","23"
"Bo Nix","QB","DEN","315","16.1","6.34","290","337","19.5","12.4","16.8","75","84","68","9","4","67.6","9.31","26"
"Tyler Warren","TE","IND","132","15.6","4.45","115","165","14.3","6.78","21.9","78","98","60","9","5","98.4","7.77","51"
"Austin Ekeler","RB","WAS","146","14.8","10","118","162","13.8","13.8","-0.435","80","79","137","30","10","109","6.94","42"
"Brock Purdy","QB","SF","309","11.6","8.66","292","327","13.2","14.4","6.69","83","76","94","10","4","90.8","5.85","69"
"George Pickens","WR","DAL","175","10.5","1.17","159","191","13.2","20.6","-8.29","82","68","203","30","5","67.6","11.6","18"
"Travis Hunter","WR","JAC","174","23.1","2.27","150","213","12.1","11.4","13.2","84","87","78","31","5","77.3","8.89","62"
"Travis Hunter","WR","JAC","174","23.1","2.27","150","213","12.1","11.4","13.2","84","87","78","31","5","77.3","8.89","96"
"Evan Engram","TE","DEN","128","14","1.01","109","147","9.85","0.644","4.22","90","121","104","10","5","96.9","6.65","34"
"Deebo Samuel","WR","WAS","172","18.5","3.19","153","204","9.78","13.8","4.51","91","78","102","32","6","90.1","7.9","53"
"Tucker Kraft","TE","GB","127","14.3","8.7","101","147","8.83","-7.38","4.62","93","186","100","11","6","109","3.96","31"
"Jaylen Waddle","WR","MIA","169","17.1","0.736","139","189","6.59","0","-10.5","97","130","223","33","6","79.7","11","51"
"Rome Odunze","WR","CHI","168","17.3","1.71","147","192","5.85","8.1","-7.24","100","96","198","34","6","87.1","7.12","39"
"Justin Fields","QB","NYJ","300","11.8","2.97","288","319","4.53","10.9","-1.25","102","88","142","11","5","106","4.56","77"
"Chris Olave","WR","NO","166","20.6","4.14","138","202","4.14","-0.761","2.57","103","135","113","35","6","89.8","7.19","54"
"Joe Mixon","RB","HOU","136","35.2","0.743","104","205","3.75","0","42.9","105","130","41","31","10","103","7.4","99"
"Zach Charbonnet","RB","SEA","135","18","0.237","114","162","3.01","9.59","0","108","93","130","32","10","110","5.85","34"
"J.K. Dobbins","RB","DEN","135","24.6","1.81","105","178","2.77","0.75","15.4","111","120","71","33","10","102","6.36","75"
"Caleb Williams","QB","CHI","297","18.3","1.57","281","332","1.57","3.8","11.8","119","104","82","12","5","108","4.76","71"
"Travis Etienne","RB","JAC","133","21.4","0.955","106","165","0.955","1.23","3.11","123","116","110","34","10","107","7.37","48"
"Jake Ferguson","TE","DAL","118","6.93","0.127","112","131","0.127","3.61","-11.8","128","105","236","12","6","132","2.72","14"
"Justin Herbert","QB","LAC","296","13.6","0.00933","277","314","0","0","-6.34","130","130","189","13","5","111","5.5","40"
"Javonte Williams","RB","DAL","132","13.5","1.82","115","148","0","10.3","-13.9","130","90","262","35","10","116","6.29","23"
"Jakobi Meyers","WR","LVR","162","9.97","2","145","174","0","6.76","-25.2","130","99","401","36","6","99","6","10"
"Dallas Goedert","TE","PHI","118","14","0.546","92.9","136","0","-15","-6.3","130","256","188","13","6","133","2.72","37"
"Jared Goff","QB","DET","296","20.9","2.78","274","329","-0.00933","-3.67","8.88","131","152","86","14","5","101","6.15","74"
