#,Name,Team,Pos,Pos Det,Games,Health,Snaps,Tackles,Tackles Solo,Tackles Ast,TFL,Sacks,Pass Def,Ints,Fum Forc,Fum Rec,Saf,TD Ret,Ret Yds,STD PTS
756,Reuben Lowery III,BAL,DB,CB,17,,102.0,7.9,4.2,3.7,0.2,0.0,1.0,0.1,0.1,0.1,0.0,0.0,2,12.5
757,Adin Huntington,CLE,DL,DE,17,,102.0,7.9,3.3,4.6,0.9,0.0,0.3,0.1,0.1,0.1,0.0,0.0,2,12.1
758,Vernon Broughton,NO,DL,DT,17,,105.0,8.1,3.2,4.9,1.0,0.0,0.2,0.1,0.1,0.0,0.0,0.0,2,12.1
759,Perrion Winfrey,DAL,DL,DT,17,,102.0,8.0,3.2,4.8,0.9,0.0,0.2,0.1,0.1,0.1,0.0,0.0,1,11.7
760,Cameron Sample,CIN,DL,DE,17,,102.0,7.7,3.2,4.5,0.9,0.0,0.3,0.1,0.1,0.1,0.0,0.0,1,11.7
761,Damone Clark,DAL,LB,MLB,17,,51.0,8.5,4.0,4.4,0.5,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0,11.6
762,B.J. Green II,JAC,DL,DE,17,,102.0,7.6,3.2,4.5,0.9,0.0,0.3,0.1,0.1,0.1,0.0,0.0,2,11.6
763,Howard Cross III,CIN,DL,DT,17,,102.0,7.8,3.1,4.7,0.9,0.0,0.2,0.1,0.1,0.1,0.0,0.0,1,11.5
764,Danny Striggow,JAC,DL,DT,17,,102.0,7.7,3.1,4.7,0.9,0.0,0.2,0.1,0.1,0.1,0.0,0.0,2,11.4
765,Collin Oliver,GB,DL,DE,17,O,102.0,7.2,3.0,4.2,0.9,0.0,0.3,0.1,0.1,0.1,0.0,0.0,1,11.2
766,JT Tuimoloau,IND,DL,DE,17,,102.0,7.2,3.0,4.2,0.9,0.0,0.3,0.1,0.1,0.1,0.0,0.0,1,11.1
767,Warren Brinson,GB,DL,DT,17,,102.0,7.4,3.0,4.5,0.9,0.0,0.2,0.1,0.1,0.1,0.0,0.0,1,11.1
768,Jordan Jackson,DEN,DL,DE,17,,102.0,7.2,2.9,4.1,0.9,0.1,0.2,0.1,0.1,0.1,0.0,0.0,1,11.1
769,JJ Pegues,LV,DL,DT,17,,102.0,7.2,2.9,4.4,0.9,0.0,0.2,0.1,0.1,0.1,0.0,0.0,2,11.0
770,Tonka Hemingway,LV,DL,DT,17,,102.0,7.2,2.9,4.4,0.9,0.0,0.2,0.1,0.1,0.1,0.0,0.0,2,11.0
771,Cam Jones,NYJ,LB,MLB,17,,51.0,7.1,3.2,3.5,0.5,0.4,0.2,0.1,0.1,0.0,0.0,0.0,1,10.9
772,Landon Jackson,BUF,DL,DE,17,,102.0,6.9,2.8,4.0,0.8,0.0,0.3,0.1,0.1,0.1,0.0,0.0,1,10.9
773,Deone Walker,BUF,DL,DT,17,,102.0,7.0,2.8,4.2,0.9,0.0,0.2,0.1,0.1,0.1,0.0,0.0,1,10.8
774,Charles Woods,NE,DB,CB,17,,86.0,6.7,3.5,3.1,0.2,0.0,1.0,0.1,0.1,0.0,0.0,0.0,1,10.7
775,TaQuon Graham,ATL,DL,NT,13,,78.0,6.4,2.6,3.6,0.7,0.3,0.2,0.0,0.1,0.0,0.0,0.0,1,10.4
776,Jay Higgins,BAL,LB,RILB,17,,51.0,7.7,3.3,4.3,0.5,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,10.3
777,Chazz Surratt,SEA,LB,MLB,17,,51.0,7.4,3.5,3.8,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.0,1,10.2
778,Demetrius Flannigan-Fowles,NYG,LB,LILB,17,,51.0,6.8,3.1,3.6,0.5,0.1,0.3,0.1,0.1,0.0,0.0,0.0,2,10.2
779,Del’Shawn Phillips,LAC,LB,LILB,17,,51.0,7.5,3.4,3.9,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.0,1,10.2
780,DeAngelo Malone,ATL,LB,ROLB,17,,51.0,5.2,1.8,2.6,0.3,0.9,0.2,0.1,0.1,0.0,0.0,0.0,1,10.0
781,Zach Cunningham,DET,LB,ILB,17,,51.0,7.4,3.6,3.8,0.5,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0,10.0
782,T.J. Tampa,BAL,DB,CB,17,,68.0,6.2,3.3,2.9,0.2,0.0,0.9,0.1,0.1,0.1,0.0,0.0,1,9.9
783,Beau Brade,NYG,DB,FS,17,,84.0,6.4,3.5,2.8,0.2,0.1,0.5,0.1,0.1,0.0,0.0,0.0,1,9.6
784,Austin Keys,MIN,LB,LILB,17,,51.0,6.9,3.2,3.7,0.5,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,9.4
785,David Ojabo,BAL,LB,LOLB,17,,51.0,5.4,2.1,2.8,0.3,0.6,0.2,0.0,0.1,0.0,0.0,0.0,1,9.3
